"","Zurich","Large_Spot","Spot_Dist","Activity","Evolution","Prev_Activity","Complex","This_Pass","Area"
"169",4,5,3,1,2,1,1,2,1
"170",2,5,3,1,3,1,1,2,1
"171",6,5,4,1,2,1,1,1,1
"172",4,3,1,1,3,1,2,2,2
"173",4,4,3,1,3,1,2,2,2
"174",6,5,4,1,3,1,1,1,1
"175",6,5,4,1,1,1,1,2,1
"176",3,5,3,2,2,1,1,2,1
"177",2,5,3,2,1,1,1,2,1
"178",6,5,4,1,1,1,1,1,1
"179",1,6,3,1,3,1,1,2,1
"180",4,1,1,2,1,3,2,2,1
"181",4,1,3,1,1,1,2,2,1
"182",6,4,4,1,3,1,1,2,1
"183",6,5,4,1,2,1,1,1,1
"184",6,5,4,1,2,1,1,1,1
"185",6,5,4,1,3,1,1,2,1
"186",6,5,4,1,3,1,1,2,1
"187",6,2,4,1,3,1,1,2,1
"188",6,5,4,1,3,1,1,1,1
"189",5,3,1,2,3,3,2,2,2
"190",4,1,3,2,2,1,2,2,1
"191",3,5,3,1,3,1,1,2,1
"192",6,5,4,1,3,1,1,1,1
"193",2,5,3,1,3,1,1,2,1
"194",6,5,4,1,2,1,1,2,1
"195",6,5,4,1,2,1,1,2,1
"196",2,2,3,1,3,1,1,2,1
"197",1,6,3,1,1,1,1,2,1
"198",5,3,1,2,3,1,2,2,2
"199",4,1,3,2,2,1,2,2,1
"200",3,5,2,1,3,1,1,2,1
"201",6,5,4,1,3,1,1,1,1
"202",2,4,2,1,3,1,1,2,1
"203",3,1,3,1,3,1,1,2,1
"204",6,5,4,1,2,1,1,2,1
"205",2,5,3,2,3,1,1,2,1
"206",2,5,3,1,2,1,1,2,1
"207",5,3,2,2,2,1,2,2,2
"208",4,4,3,2,2,1,2,2,1
"209",2,4,2,1,3,1,1,2,1
"210",3,4,3,1,3,1,1,2,1
"211",3,1,2,1,3,1,1,2,1
"212",3,5,3,1,3,1,1,2,1
"213",2,5,3,1,3,1,1,2,1
"214",6,5,4,1,1,1,1,2,1
"215",6,5,4,2,2,1,1,2,1
"216",5,1,2,1,2,1,2,2,1
"217",2,4,2,1,3,1,1,2,1
"218",3,5,3,1,3,1,1,2,1
"219",2,5,2,2,2,1,2,2,1
"220",3,1,3,2,3,1,1,2,1
"221",2,5,3,1,2,1,1,2,1
"222",6,5,4,1,2,1,1,2,1
"223",6,5,4,1,3,1,1,2,1
"224",5,1,2,2,2,1,2,2,1
"225",3,4,2,2,2,1,1,2,1
"226",3,1,2,1,3,1,1,2,1
"227",3,1,3,2,2,3,2,2,1
"228",3,1,3,1,2,1,1,2,1
"229",3,4,3,1,3,1,1,2,1
"230",6,5,4,1,2,1,1,2,1
"231",6,5,4,1,2,1,1,2,1
"232",5,3,2,2,3,1,2,2,2
"233",3,1,2,1,2,1,2,2,1
"234",3,1,2,1,3,1,2,2,1
"235",1,6,2,1,2,1,2,2,1
"236",3,1,3,1,3,1,1,2,1
"237",3,1,3,2,3,1,1,2,1
"238",2,4,3,1,3,1,1,2,1
"239",1,6,3,1,3,1,1,2,1
"240",1,6,3,1,2,1,1,2,1
"241",6,5,4,1,3,1,1,2,1
"242",6,5,4,1,2,1,1,2,1
"243",5,3,2,2,2,3,2,2,1
"244",3,4,1,1,3,1,2,2,1
"245",3,1,2,1,2,1,2,2,1
"246",6,5,4,1,1,1,2,2,1
"247",3,1,3,1,2,1,1,2,1
"248",3,1,3,2,3,1,1,2,1
"249",3,4,3,1,2,1,1,2,1
"250",1,6,3,1,2,1,1,2,1
"251",2,4,3,1,2,1,1,2,1
"252",1,6,2,1,3,1,1,2,1
"253",6,4,4,1,2,1,1,1,1
"254",6,5,4,1,2,1,1,1,1
"255",5,5,3,1,1,1,2,2,1
"256",3,4,2,2,2,1,2,2,1
"257",2,4,3,1,2,1,2,2,1
"258",6,1,4,2,3,2,2,2,1
"259",6,1,4,1,2,1,1,2,1
"260",3,1,2,1,2,1,1,2,1
"261",6,5,4,1,1,1,1,2,1
"262",3,4,3,1,3,1,1,2,1
"263",3,4,3,1,3,1,1,2,1
"264",2,4,3,1,3,1,1,2,1
"265",6,5,4,1,2,1,2,1,1
"266",2,4,3,1,3,1,1,2,1
"267",3,4,3,1,3,1,1,2,1
"268",2,4,3,1,1,1,2,2,1
"269",6,5,4,1,2,1,2,2,1
"270",6,1,4,1,3,1,1,2,1
"271",3,5,2,1,2,1,2,2,1
"272",1,6,3,1,3,1,1,2,1
"273",1,6,2,1,3,1,1,2,1
"274",3,5,2,1,3,1,1,2,1
"275",6,4,4,1,3,1,1,2,1
"276",6,1,4,1,2,1,2,1,1
"277",6,4,4,1,2,1,1,2,1
"278",1,6,3,1,3,1,1,2,1
"279",1,6,3,1,3,1,1,2,1
"280",1,6,3,1,3,1,1,2,1
"281",2,5,3,1,2,1,2,2,1
"282",1,6,3,2,1,1,2,2,1
"283",6,4,4,1,2,1,2,2,1
"284",3,4,3,1,1,1,1,2,1
"285",3,5,3,1,2,1,2,2,1
"286",1,6,3,1,2,1,1,2,1
"287",2,4,3,1,1,1,1,2,1
"288",2,4,3,1,2,1,2,2,1
"289",2,4,3,1,3,1,1,2,1
"290",2,1,3,1,3,1,2,2,1
"291",6,5,4,1,3,1,1,2,1
"292",2,4,3,1,3,1,1,2,1
"293",6,4,4,1,1,1,1,2,1
"294",2,4,2,1,3,1,1,2,1
"295",3,1,3,1,3,1,2,2,1
"296",1,6,3,1,3,1,1,2,1
"297",6,4,4,1,3,1,1,2,1
"298",2,5,3,2,2,3,2,2,1
"299",6,4,4,1,3,1,1,2,1
"300",2,4,3,1,2,1,2,2,1
"301",2,4,3,1,2,1,1,2,1
"302",6,1,4,1,2,1,2,2,1
"303",2,4,3,1,3,1,1,2,1
"304",1,6,3,1,3,1,1,2,1
"305",3,4,2,1,3,1,1,2,1
"306",6,1,4,1,2,1,2,2,1
"307",2,4,3,1,3,1,1,2,1
"308",6,5,4,1,3,1,2,2,1
"309",1,6,3,1,2,1,1,2,1
"310",6,5,4,1,2,1,1,2,1
"311",2,5,3,1,2,1,2,2,1
"312",2,4,3,1,1,1,1,2,1
"313",6,4,4,1,3,1,1,2,1
"314",4,1,2,2,3,1,2,2,1
"315",3,4,2,1,2,1,2,2,1
"316",2,4,3,1,2,1,1,2,1
"317",1,6,3,1,3,1,1,2,1
"318",2,5,3,1,2,1,1,2,1
"319",6,5,4,2,2,1,2,2,1
"320",1,6,3,1,3,1,1,2,1
"321",2,5,3,1,3,1,2,2,1
"322",3,1,2,1,3,1,1,2,1
"323",4,1,2,2,2,1,2,2,1
"324",3,4,2,2,3,2,2,2,1
"325",2,5,3,1,3,1,1,2,1
"326",6,5,4,1,2,1,2,2,1
"327",2,1,3,1,2,1,2,2,1
"328",2,4,3,1,2,1,2,2,1
"329",2,1,2,1,2,1,2,2,1
"330",1,6,3,1,2,1,2,2,1
"331",3,1,2,2,3,1,1,2,1
"332",2,4,3,1,3,1,1,2,1
"333",1,6,3,1,3,1,1,2,1
"334",6,5,4,1,2,1,2,2,1
"335",2,1,3,1,3,1,2,2,1
"336",3,4,2,1,2,1,2,2,1
"337",2,4,3,1,2,1,2,2,1
"338",1,6,2,1,3,1,2,2,1
"339",3,1,2,2,3,3,2,2,1
"340",3,4,3,1,3,1,1,2,1
"341",1,6,3,1,3,1,1,2,1
"342",3,4,3,1,3,1,1,2,1
"343",6,1,4,1,2,1,2,2,1
"344",1,6,3,1,1,1,2,2,1
"345",2,1,3,1,2,1,2,2,1
"346",3,1,2,1,2,1,2,2,1
"347",2,4,3,1,1,1,1,2,1
"348",2,4,3,1,1,1,1,2,1
"349",6,1,4,1,2,1,2,2,1
"350",2,4,3,1,2,1,2,2,1
"351",3,5,3,2,3,1,2,2,1
"352",1,6,3,2,3,1,1,2,1
"353",2,5,3,1,3,1,1,2,1
"354",1,6,3,1,3,1,1,2,1
"355",1,6,3,1,3,1,1,2,1
"356",6,5,4,1,2,1,2,2,1
"357",3,1,2,2,2,1,2,2,1
"358",6,4,4,1,2,1,1,2,1
"359",3,4,3,1,2,1,1,2,1
"360",6,4,4,1,2,1,1,2,1
"361",6,5,4,1,2,1,1,1,1
"362",6,5,4,1,3,1,2,2,1
"363",3,3,2,2,3,2,2,2,1
"364",1,6,3,1,2,1,1,2,1
"365",1,6,2,1,2,1,1,2,1
"366",1,6,3,1,2,1,1,2,1
"367",6,5,4,1,2,1,1,1,1
"368",1,6,3,1,3,1,1,2,1
"369",6,5,4,1,2,1,1,1,1
"370",3,3,2,1,3,1,2,2,1
"371",1,6,3,1,1,1,1,2,1
"372",1,6,3,1,3,1,1,2,1
"373",6,5,4,1,2,1,1,1,1
"374",2,5,3,2,3,3,1,2,1
"375",1,6,3,1,3,1,1,2,1
"376",3,4,3,1,2,1,1,2,1
"377",3,3,2,2,3,1,2,2,1
"378",1,6,3,1,3,1,1,2,1
"379",6,5,4,1,2,1,1,1,1
"380",2,5,3,1,3,1,1,2,1
"381",1,6,3,1,3,1,1,2,1
"382",3,4,3,1,3,1,1,2,1
"383",2,4,3,1,3,1,1,2,1
"384",3,4,3,1,3,1,1,2,1
"385",3,3,2,2,2,1,2,2,1
"386",3,1,2,1,3,1,1,2,1
"387",6,5,4,1,2,1,1,1,1
"388",2,5,3,2,2,2,1,2,1
"389",3,4,3,1,2,1,1,2,1
"390",1,6,3,1,2,1,1,2,1
"391",1,6,3,1,2,1,1,2,1
"392",1,6,3,1,3,1,1,2,1
"393",1,6,3,1,3,1,1,2,1
"394",3,5,3,1,2,1,1,2,1
"395",3,1,2,2,2,3,2,2,1
"396",3,5,3,1,3,1,1,2,1
"397",3,1,2,1,2,1,2,2,1
"398",2,5,3,1,3,1,1,2,1
"399",6,4,4,1,3,1,1,2,1
"400",2,4,3,1,3,1,1,2,1
"401",1,6,3,1,2,1,1,2,1
"402",1,6,3,1,3,1,1,2,1
"403",3,1,2,1,3,1,1,2,1
"404",6,5,4,1,2,1,1,1,1
"405",2,4,3,1,3,1,1,2,1
"406",6,1,4,1,1,1,2,2,1
"407",6,5,4,1,1,1,1,2,1
"408",3,1,2,1,3,1,2,2,1
"409",6,5,4,1,1,1,1,2,1
"410",2,5,3,1,2,1,1,2,1
"411",3,4,3,1,2,1,1,2,1
"412",3,5,2,2,3,1,1,2,1
"413",3,1,1,2,3,1,2,2,1
"414",6,5,4,1,3,1,1,1,1
"415",3,4,3,1,2,1,1,2,1
"416",2,1,3,1,3,1,1,2,1
"417",3,4,3,1,3,1,1,2,1
"418",6,5,4,1,3,1,1,2,1
"419",6,5,4,1,2,1,1,1,1
"420",1,6,3,1,2,1,1,2,1
"421",4,1,2,1,3,1,2,2,1
"422",3,5,3,1,3,1,1,2,1
"423",6,5,4,1,3,1,1,2,1
"424",6,4,4,1,1,1,1,2,1
"425",3,1,3,1,1,1,2,2,1
"426",3,1,2,1,2,1,2,2,1
"427",6,5,4,1,2,1,1,1,1
"428",2,4,3,2,2,1,1,2,1
"429",2,4,3,1,3,1,1,2,1
"430",3,5,2,1,3,1,1,2,1
"431",6,4,4,1,2,1,1,1,1
"432",6,4,4,1,2,1,1,2,1
"433",4,1,1,1,3,1,2,2,1
"434",3,1,3,1,3,1,1,2,1
"435",2,5,3,1,3,1,1,2,1
"436",6,5,4,2,2,1,1,2,1
"437",3,4,3,1,3,1,2,2,1
"438",2,5,3,1,2,1,2,2,1
"439",6,2,4,1,2,1,1,1,1
"440",2,4,3,1,3,1,1,2,1
"441",3,5,2,1,3,1,2,2,1
"442",2,4,3,1,3,1,1,2,1
"443",6,4,4,1,3,1,1,2,1
"444",6,5,4,1,2,1,2,1,1
"445",6,5,4,1,2,1,1,1,1
"446",3,1,3,1,1,1,2,2,1
"447",3,5,2,1,3,1,1,2,1
"448",6,5,4,1,3,1,1,2,1
"449",2,4,2,1,3,1,2,2,1
"450",3,4,2,1,3,1,2,2,1
"451",6,1,4,1,2,1,1,1,1
"452",1,6,3,1,2,1,1,2,1
"453",4,1,2,2,3,1,2,2,1
"454",3,4,3,1,3,1,1,2,1
"455",6,2,4,1,3,1,2,1,1
"456",3,1,2,1,2,1,1,2,1
"457",3,4,3,1,3,1,1,2,1
"458",1,6,3,1,3,1,1,2,1
"459",3,5,2,1,3,1,2,2,1
"460",6,5,4,1,2,1,1,2,1
"461",3,1,2,1,3,1,2,2,1
"462",2,4,3,1,3,1,1,2,1
"463",3,4,3,1,2,1,2,2,1
"464",6,5,4,1,3,1,1,1,1
"465",3,4,3,1,3,1,1,2,1
"466",4,1,2,2,2,1,2,2,1
"467",3,1,2,2,3,3,1,2,1
"468",1,6,3,1,2,1,1,2,1
"469",6,1,4,1,3,1,2,1,1
"470",3,1,2,1,3,1,2,2,1
"471",2,4,3,1,2,1,1,2,1
"472",3,5,3,1,1,1,2,2,1
"473",6,5,4,1,2,1,1,2,1
"474",3,4,3,1,1,1,2,2,1
"475",2,4,3,1,2,1,1,2,1
"476",1,6,3,1,2,1,2,2,1
"477",6,5,4,1,3,1,1,1,1
"478",2,4,3,1,2,1,1,2,1
"479",4,1,3,2,2,1,2,2,1
"480",4,1,2,1,3,1,2,2,1
"481",6,1,4,1,3,1,2,1,1
"482",3,1,2,2,3,1,2,2,1
"483",2,4,3,1,3,1,1,2,1
"484",3,5,3,1,2,1,2,2,1
"485",6,5,4,1,2,1,1,2,1
"486",3,4,3,1,3,1,2,2,1
"487",6,5,4,1,2,1,1,1,1
"488",2,1,3,1,1,1,1,2,1
"489",4,1,2,1,2,1,2,2,1
"490",4,1,1,2,2,1,2,2,1
"491",6,1,4,1,2,1,2,1,1
"492",3,1,1,2,2,3,2,2,1
"493",4,5,2,1,2,1,2,2,1
"494",6,4,4,1,2,1,1,1,1
"495",6,5,4,1,3,1,1,2,1
"496",3,1,2,1,3,1,2,2,1
"497",6,5,4,1,3,1,1,1,1
"498",4,1,3,2,3,1,2,2,1
"499",4,1,3,1,2,1,2,2,1
"500",2,1,3,1,2,1,2,2,1
"501",3,1,1,1,2,1,2,2,1
"502",4,5,2,1,3,1,2,2,1
"503",6,4,4,1,3,1,1,1,1
"504",3,4,2,1,3,1,1,2,1
"505",6,5,4,1,3,1,1,1,1
"506",6,5,4,1,3,1,2,1,1
"507",3,5,2,1,3,1,2,2,1
"508",6,5,4,1,2,1,1,1,1
"509",6,1,4,1,2,1,2,2,1
"510",5,1,2,1,2,1,2,2,1
"511",2,1,3,1,3,1,2,2,1
"512",2,1,2,1,2,1,2,2,1
"513",4,1,2,1,3,1,2,2,1
"514",6,5,4,1,2,1,1,1,1
"515",3,4,2,2,3,1,2,2,1
"516",6,5,4,1,2,1,2,1,1
"517",1,6,3,1,3,1,1,2,1
"518",3,5,3,1,1,3,2,2,1
"519",6,5,4,1,2,1,1,1,1
"520",5,1,2,2,2,1,2,2,1
"521",2,4,3,1,2,1,2,2,1
"522",4,1,2,2,3,3,2,2,1
"523",6,5,4,1,3,1,1,1,1
"524",2,1,2,1,2,1,2,2,1
"525",6,5,4,1,2,1,2,1,1
"526",3,4,2,1,3,1,1,2,1
"527",2,4,3,1,3,1,1,2,1
"528",6,5,4,1,2,1,1,1,1
"529",5,1,2,2,2,1,2,2,1
"530",2,4,3,1,2,1,2,2,1
"531",6,5,4,1,3,1,2,2,1
"532",4,1,2,1,3,1,2,2,1
"533",6,5,4,2,2,1,1,1,1
"534",2,1,2,2,3,1,2,2,1
"535",6,5,4,1,2,1,2,1,1
"536",3,4,2,1,3,1,2,2,1
"537",2,4,3,1,3,1,1,2,1
"538",6,5,4,1,2,1,1,1,1
"539",5,1,2,1,1,1,2,2,1
"540",6,4,4,1,1,1,2,2,1
"541",6,5,4,2,3,1,2,2,1
"542",4,5,2,2,2,1,2,2,1
"543",6,5,4,1,3,1,1,1,1
"544",3,4,2,1,2,1,2,2,1
"545",6,4,4,1,2,1,2,1,1
"546",3,1,3,1,2,1,2,2,1
"547",6,4,4,1,1,1,1,2,1
"548",1,6,3,1,2,1,1,2,1
"549",6,5,4,1,2,1,2,1,1
"550",6,5,4,1,2,1,2,2,1
"551",4,5,2,2,2,1,2,2,1
"552",2,5,3,2,2,1,1,2,1
"553",2,4,3,1,1,1,2,2,1
"554",6,5,4,1,2,1,2,1,1
"555",1,6,3,1,3,1,1,2,1
"556",6,5,4,1,3,1,1,1,1
"557",6,5,4,1,2,1,2,2,1
"558",3,1,2,2,2,1,2,2,1
"559",6,5,4,1,2,1,1,2,1
"560",1,6,3,1,2,1,2,2,1
"561",6,5,4,1,2,1,2,1,1
"562",2,4,3,1,3,1,1,2,1
"563",3,5,3,2,3,1,2,2,1
"564",3,2,3,1,3,1,1,2,1
"565",3,4,3,1,3,1,1,2,1
"566",2,5,3,1,2,1,1,2,1
"567",6,5,4,1,2,1,2,2,1
"568",3,1,2,1,2,1,2,2,1
"569",6,5,4,1,2,1,1,2,1
"570",6,4,4,1,2,1,2,1,1
"571",2,5,3,1,3,1,2,2,1
"572",2,5,2,1,3,1,1,2,1
"573",6,4,4,1,2,1,1,2,1
"574",2,5,3,1,3,1,1,2,1
"575",6,5,4,1,2,1,2,2,1
"576",3,1,3,1,3,1,2,2,1
"577",6,5,4,1,2,1,1,2,1
"578",6,4,4,1,3,1,2,1,1
"579",1,6,3,1,3,1,1,2,1
"580",2,5,3,1,2,1,2,2,1
"581",2,5,3,1,2,1,1,2,1
"582",2,4,3,1,3,1,1,2,1
"583",2,5,3,1,1,1,1,2,1
"584",1,6,3,1,3,1,1,2,1
"585",2,5,3,1,2,1,1,2,1
"586",3,1,2,1,3,1,2,2,1
"587",6,5,4,1,2,1,1,2,1
"588",6,5,4,1,3,1,2,1,1
"589",2,5,3,1,3,1,1,2,1
"590",2,5,3,1,3,1,2,2,1
"591",6,5,4,1,3,1,1,2,1
"592",2,4,3,1,2,1,1,2,1
"593",3,5,3,1,3,1,1,2,1
"594",6,5,4,2,3,1,1,2,1
"595",6,5,4,1,3,1,1,2,1
"596",3,1,3,1,2,1,2,2,1
"597",6,5,4,1,2,1,1,2,1
"598",6,5,4,1,2,1,2,1,1
"599",3,5,2,1,3,1,1,2,1
"600",3,1,2,2,2,1,2,2,1
"601",5,5,3,2,2,1,1,2,1
"602",6,4,4,1,2,1,1,2,1
"603",2,4,2,1,2,1,1,2,1
"604",6,5,4,1,2,1,1,2,1
"605",6,5,4,1,2,1,1,2,1
"606",3,1,3,1,3,1,2,2,1
"607",3,1,2,2,2,1,2,2,1
"608",3,5,3,2,2,3,2,2,1
"609",5,2,3,1,2,1,1,2,1
"610",2,4,3,1,3,1,1,2,1
"611",3,4,2,1,3,1,1,2,1
"612",2,5,3,1,2,1,1,2,1
"613",6,4,4,1,2,1,1,2,1
"614",6,4,4,1,3,1,1,1,1
"615",3,5,3,1,3,1,1,2,1
"616",3,5,2,1,1,1,2,2,1
"617",2,4,2,1,2,1,2,2,1
"618",2,5,3,1,3,1,1,2,1
"619",1,6,2,2,2,1,2,2,1
"620",6,5,4,1,3,1,1,2,1
"621",1,6,3,1,3,1,1,2,1
"622",2,5,2,1,3,1,1,2,1
"623",6,4,4,2,1,1,2,2,1
"624",2,5,3,1,2,1,2,2,1
"625",6,5,4,1,2,1,1,2,1
"626",1,6,2,1,2,1,2,2,1
"627",2,5,3,1,2,1,1,2,1
"628",1,6,3,1,3,1,1,2,1
"629",3,1,3,1,3,1,1,2,1
"630",2,5,3,1,2,1,1,2,1
"631",1,6,3,1,3,1,1,2,1
"632",2,5,3,2,2,1,2,2,1
"633",2,5,2,1,3,1,1,2,1
"634",2,4,3,1,2,1,2,2,1
"635",2,5,3,1,3,1,1,2,1
"636",3,1,2,1,2,1,1,2,1
"637",4,1,2,1,3,1,1,2,1
"638",6,4,4,1,3,1,1,2,1
"639",2,4,3,1,3,1,1,2,1
"640",6,5,4,1,1,1,2,2,1
"641",3,5,3,1,2,1,1,2,1
"642",2,5,3,2,3,1,2,2,1
"643",2,5,3,1,3,1,1,2,1
"644",3,1,3,1,2,1,2,2,1
"645",5,5,2,1,3,1,2,2,1
"646",3,1,2,1,2,1,1,2,1
"647",2,4,3,1,3,1,1,2,1
"648",3,1,2,1,3,1,1,2,1
"649",4,5,3,1,3,1,1,2,1
"650",6,5,4,1,2,1,2,2,1
"651",2,5,3,1,2,1,1,2,1
"652",6,5,4,1,1,1,1,2,1
"653",2,5,3,1,3,1,2,2,1
"654",5,5,2,1,3,1,2,2,1
"655",3,4,3,1,2,1,2,2,1
"656",3,1,2,2,3,1,2,2,1
"657",3,4,1,2,3,1,1,2,1
"658",6,3,4,1,3,1,1,1,1
"659",2,4,3,1,2,1,1,2,1
"660",6,5,4,1,2,1,1,2,1
"661",6,1,4,1,1,1,2,2,1
